trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.8, 'e': 0.08853787272595742}",30,19,22.50853375512785,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8, 'e': 0.08676711527143827}",20,16,7.295156335803662,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.0850317729660095}",20,10,8.813915522084514,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.8, 'e': 0.08333113750668932}",30,15,26.652006104800236,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.08166451475655553}",20,6,22.876671823163303,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.08003122446142442}",25,4,20.45407395730152,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.07843059997219594}",25,18,15.163285925018782,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.07686198797275202}",20,14,11.255166326010373,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.07532474821329699}",20,10,16.777679824857945,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8, 'e': 0.07381825324903105}",20,8,22.643732472318,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8, 'e': 0.07234188818405042}",25,5,12.981870281268884,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.07089505042036941}",20,12,16.783181781827686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.06947714941196202}",20,10,14.756054325847172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.8, 'e': 0.06808760642372277}",20,10,22.083968347631934,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.8, 'e': 0.06672585429524831}",20,9,19.608027835780184,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.06539133720934334}",20,12,15.867029266262358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.06408351046515648}",20,14,9.413881101511532,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.06280184025585335}",30,19,15.17984488500549,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.061545803450736285}",35,19,29.547935715143673,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.060314887381721555}",30,24,12.934071726753347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.05910858963408712}",20,0,30.21319811921365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.8, 'e': 0.05792641784140538}",20,14,11.238625789321347,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.05676788948457727}",30,18,21.119708144720608,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
